file_size_kb,created_date,modified_date,accessed_date,software_used,author,resolution_dpi,label
549.6714153011233,2023-01-15 00:00:00,2023-05-01 00:00:00,2023-01-23 00:00:00,MS Word,David,404.3023524768557,0
486.1735698828815,2023-06-11 00:00:00,2023-01-20 00:00:00,2023-02-01 00:00:00,Adobe Photoshop,David,249.2620253407074,0
564.7688538100692,2023-06-12 00:00:00,2023-03-16 00:00:00,2023-03-15 00:00:00,MS Word,David,281.9268616653007,0
652.3029856408025,2023-11-16 00:00:00,2023-08-31 00:00:00,2023-01-10 00:00:00,Adobe Photoshop,Bob,320.8223019050726,0
476.5846625276664,2023-10-08 00:00:00,2023-08-11 00:00:00,2023-02-23 00:00:00,VLC Media Player,David,297.30475754971303,0
476.58630430508197,2023-10-07 00:00:00,2023-03-11 00:00:00,2023-02-21 00:00:00,GIMP,Bob,250.88482098113425,0
657.9212815507392,2023-01-12 00:00:00,2023-11-08 00:00:00,2023-05-28 00:00:00,Adobe Photoshop,David,356.09289281152354,0
576.7434729152909,2023-10-01 00:00:00,2023-07-30 00:00:00,2023-06-09 00:00:00,VLC Media Player,Charlie,416.002036100863,0
453.05256140650476,2023-09-28 00:00:00,2023-04-11 00:00:00,2023-01-14 00:00:00,Adobe Photoshop,Alice,309.8065729511954,0
554.2560043585964,2023-07-27 00:00:00,2023-07-05 00:00:00,2023-06-27 00:00:00,Adobe Photoshop,Charlie,254.79658551319997,0
453.65823071875377,2023-01-27 00:00:00,2023-05-12 00:00:00,2023-02-22 00:00:00,VLC Media Player,David,222.55197374732626,0
453.4270246429743,2023-03-13 00:00:00,2023-04-21 00:00:00,2023-12-01 00:00:00,Adobe Photoshop,David,312.89879906105904,0
524.1962271566034,2023-03-01 00:00:00,2023-05-12 00:00:00,2023-01-22 00:00:00,Adobe Photoshop,David,355.1938671658129,0
308.6719755342202,2023-05-25 00:00:00,2023-01-20 00:00:00,2023-01-30 00:00:00,GIMP,Charlie,323.7583873247691,0
327.5082167486967,2023-04-03 00:00:00,2023-01-24 00:00:00,2023-07-10 00:00:00,VLC Media Player,David,299.8798079540573,0
443.77124707590275,2023-11-05 00:00:00,2023-08-15 00:00:00,2023-09-17 00:00:00,VLC Media Player,Charlie,270.5364174105347,0
398.71688796655764,2023-01-08 00:00:00,2023-06-03 00:00:00,2023-07-24 00:00:00,MS Word,Bob,245.3918183640955,0
531.4247332595274,2023-03-20 00:00:00,2023-10-20 00:00:00,2023-02-28 00:00:00,Adobe Photoshop,Alice,341.7375663162441,0
409.1975924478789,2023-01-27 00:00:00,2023-08-18 00:00:00,2023-09-21 00:00:00,GIMP,Alice,345.6885810692793,0
358.76962986647084,2023-06-23 00:00:00,2023-11-06 00:00:00,2023-01-12 00:00:00,Adobe Photoshop,Charlie,222.71351066546333,0
646.5648768921554,2023-02-19 00:00:00,2023-12-25 00:00:00,2023-04-29 00:00:00,Adobe Photoshop,Bob,379.4919489090342,0
477.4223699513464,2023-07-18 00:00:00,2023-07-21 00:00:00,2023-10-17 00:00:00,MS Word,Charlie,328.70356104470005,0
506.7528204687924,2023-12-15 00:00:00,2023-02-07 00:00:00,2023-12-04 00:00:00,Adobe Photoshop,Bob,369.9797322572897,0
357.52518137865434,2023-06-30 00:00:00,2023-09-17 00:00:00,2023-09-05 00:00:00,GIMP,David,232.89361257574424,0
445.5617275474817,2023-01-24 00:00:00,2023-07-07 00:00:00,2023-12-20 00:00:00,GIMP,Bob,231.70879222922807,0
511.0922589709866,2023-11-12 00:00:00,2023-02-26 00:00:00,2023-05-07 00:00:00,MS Word,Bob,292.55153451163517,0
384.90064225776973,2023-02-15 00:00:00,2023-01-20 00:00:00,2023-03-16 00:00:00,Adobe Photoshop,Bob,325.13922134475973,0
537.5698018345672,2023-01-15 00:00:00,2023-09-30 00:00:00,2023-12-27 00:00:00,GIMP,Alice,389.8180411463482,0
439.9361310081195,2023-06-02 00:00:00,2023-04-29 00:00:00,2023-07-23 00:00:00,Adobe Photoshop,Bob,335.30394569075656,0
470.8306250206723,2023-08-10 00:00:00,2023-03-12 00:00:00,2023-02-18 00:00:00,Adobe Photoshop,David,287.86593615939836,0
439.8293387770603,2023-07-25 00:00:00,2023-01-04 00:00:00,2023-03-20 00:00:00,Adobe Photoshop,David,248.6815396167054,0
685.2278184508938,2023-09-30 00:00:00,2023-08-09 00:00:00,2023-08-29 00:00:00,MS Word,David,361.5000286359575,0
498.6502775262066,2023-08-24 00:00:00,2023-01-14 00:00:00,2023-12-15 00:00:00,Adobe Photoshop,Bob,251.76472871246426,0
394.22890710441,2023-12-06 00:00:00,2023-01-03 00:00:00,2023-06-03 00:00:00,GIMP,Charlie,381.4234277386161,0
582.2544912103189,2023-08-16 00:00:00,2023-08-04 00:00:00,2023-10-01 00:00:00,Adobe Photoshop,Charlie,285.78076751967455,0
377.9156350028978,2023-01-09 00:00:00,2023-08-17 00:00:00,2023-04-06 00:00:00,GIMP,David,379.5291036308925,0
520.8863595004756,2023-06-15 00:00:00,2023-12-02 00:00:00,2023-08-02 00:00:00,Adobe Photoshop,Alice,333.9465645029639,0
304.03298761202245,2023-11-15 00:00:00,2023-07-05 00:00:00,2023-10-21 00:00:00,GIMP,Charlie,293.15022552787707,0
367.1813951101569,2023-08-02 00:00:00,2023-02-24 00:00:00,2023-07-28 00:00:00,GIMP,Bob,274.0301814086937,0
519.6861235869123,2023-04-27 00:00:00,2023-09-11 00:00:00,2023-12-09 00:00:00,Adobe Photoshop,Charlie,282.95460613269603,0
573.8466579995411,2023-12-10 00:00:00,2023-01-24 00:00:00,2023-03-29 00:00:00,Adobe Photoshop,David,321.4158346187619,0
517.1368281189971,2023-03-13 00:00:00,2023-06-11 00:00:00,2023-11-02 00:00:00,GIMP,Alice,303.85782481088586,0
488.4351717611759,2023-03-05 00:00:00,2023-06-07 00:00:00,2023-09-21 00:00:00,VLC Media Player,Charlie,270.30942959656477,0
469.8896304410711,2023-07-24 00:00:00,2023-03-23 00:00:00,2023-11-21 00:00:00,MS Word,Charlie,291.71842948411836,0
352.1478009632573,2023-07-28 00:00:00,2023-06-08 00:00:00,2023-11-16 00:00:00,VLC Media Player,David,303.92885148595747,0
428.0155791605291,2023-03-13 00:00:00,2023-07-07 00:00:00,2023-06-06 00:00:00,VLC Media Player,Alice,193.5632952792594,0
453.93612290402126,2023-10-04 00:00:00,2023-03-01 00:00:00,2023-06-05 00:00:00,Adobe Photoshop,Alice,322.90840573943495,0
605.7122226218916,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-05-19 00:00:00,MS Word,David,251.01393876415966,0
534.3618289568461,2023-11-16 00:00:00,2023-11-15 00:00:00,2023-05-01 00:00:00,VLC Media Player,Bob,242.33337983971273,0
323.69598446372663,2023-12-04 00:00:00,2023-07-30 00:00:00,2023-03-06 00:00:00,Adobe Photoshop,Charlie,215.63278264446447,0
532.4083969394795,2023-04-05 00:00:00,2023-06-01 00:00:00,2023-04-17 00:00:00,VLC Media Player,Bob,210.30537510660548,0
461.49177195836836,2023-06-15 00:00:00,2023-04-19 00:00:00,2023-05-27 00:00:00,VLC Media Player,Charlie,232.22762484438553,0
432.30779996940413,2023-02-01 00:00:00,2023-03-17 00:00:00,2023-05-17 00:00:00,Adobe Photoshop,Charlie,264.5489521184755,0
561.1676288840868,2023-01-11 00:00:00,2023-01-30 00:00:00,2023-06-11 00:00:00,Adobe Photoshop,Bob,397.6629568763284,0
603.099952249595,2023-10-28 00:00:00,2023-11-10 00:00:00,2023-04-10 00:00:00,Adobe Photoshop,David,273.7060162052398,0
593.1280119116199,2023-08-05 00:00:00,2023-04-27 00:00:00,2023-12-04 00:00:00,MS Word,David,308.88750531340156,0
416.07824767773616,2023-10-16 00:00:00,2023-12-22 00:00:00,2023-11-03 00:00:00,VLC Media Player,Charlie,320.0240693253164,0
469.07876241487855,2023-04-12 00:00:00,2023-07-11 00:00:00,2023-05-21 00:00:00,Adobe Photoshop,David,306.55325931079244,0
533.1263431403564,2023-09-24 00:00:00,2023-01-19 00:00:00,2023-03-24 00:00:00,GIMP,Charlie,296.12782696370033,0
597.5545127122359,2023-08-02 00:00:00,2023-06-22 00:00:00,2023-06-26 00:00:00,VLC Media Player,David,240.23531182003777,0
452.082576215471,2023-06-28 00:00:00,2023-08-16 00:00:00,2023-07-17 00:00:00,GIMP,Charlie,372.5463774139606,0
481.4341023336183,2023-03-29 00:00:00,2023-12-16 00:00:00,2023-04-22 00:00:00,MS Word,David,390.35983218189426,0
389.36650259939717,2023-02-10 00:00:00,2023-07-02 00:00:00,2023-02-25 00:00:00,Adobe Photoshop,Alice,215.86706529386572,0
380.37933759193294,2023-03-17 00:00:00,2023-04-23 00:00:00,2023-06-28 00:00:00,GIMP,Bob,248.79857045568102,0
581.2525822394198,2023-02-15 00:00:00,2023-07-02 00:00:00,2023-07-05 00:00:00,MS Word,Alice,286.00948288114967,0
635.6240028570822,2023-06-09 00:00:00,2023-05-26 00:00:00,2023-08-06 00:00:00,Adobe Photoshop,Bob,251.77311025449043,0
492.7989878419666,2023-03-21 00:00:00,2023-11-15 00:00:00,2023-11-12 00:00:00,GIMP,Bob,325.2982776727933,0
600.3532897892024,2023-11-06 00:00:00,2023-04-26 00:00:00,2023-08-05 00:00:00,GIMP,Charlie,263.58638987966935,0
536.1636025047634,2023-03-27 00:00:00,2023-04-23 00:00:00,2023-04-30 00:00:00,MS Word,Bob,408.25280339033014,0
435.4880245394876,2023-04-02 00:00:00,2023-09-08 00:00:00,2023-06-24 00:00:00,Adobe Photoshop,Alice,359.5274297171798,0
536.1395605508413,2023-05-28 00:00:00,2023-09-08 00:00:00,2023-01-23 00:00:00,Adobe Photoshop,Alice,310.6287015316108,0
653.8036566465969,2023-06-10 00:00:00,2023-10-30 00:00:00,2023-08-01 00:00:00,GIMP,David,351.3493131659866,0
496.41739608900485,2023-07-21 00:00:00,2023-11-09 00:00:00,2023-08-23 00:00:00,GIMP,Alice,355.29502121786544,0
656.4643655814006,2023-08-30 00:00:00,2023-04-28 00:00:00,2023-01-13 00:00:00,GIMP,David,271.80262559708785,0
238.02548959102558,2023-12-19 00:00:00,2023-10-28 00:00:00,2023-04-11 00:00:00,Adobe Photoshop,Bob,259.18913777290174,0
582.1902504375224,2023-01-02 00:00:00,2023-06-10 00:00:00,2023-01-24 00:00:00,MS Word,Alice,303.9071531484824,0
508.70470682381716,2023-08-13 00:00:00,2023-07-17 00:00:00,2023-12-30 00:00:00,MS Word,Bob,343.0818062248972,0
470.09926495341324,2023-10-16 00:00:00,2023-09-17 00:00:00,2023-01-11 00:00:00,Adobe Photoshop,Alice,306.9530199326709,0
509.17607765355024,2023-08-21 00:00:00,2023-05-28 00:00:00,2023-09-30 00:00:00,VLC Media Player,Alice,221.15017589045013,0
301.24310853991074,2023-03-18 00:00:00,2023-08-28 00:00:00,2023-10-08 00:00:00,MS Word,David,259.8587778024579,0
478.03281121624883,2023-04-26 00:00:00,2023-02-16 00:00:00,2023-04-04 00:00:00,GIMP,Bob,296.3013568202811,0
535.7112571511747,2023-06-03 00:00:00,2023-07-17 00:00:00,2023-07-20 00:00:00,VLC Media Player,Alice,296.21671978370847,0
647.7894044741516,2023-04-13 00:00:00,2023-02-16 00:00:00,2023-01-21 00:00:00,VLC Media Player,Charlie,398.6271088394904,0
448.1729781726353,2023-07-13 00:00:00,2023-03-19 00:00:00,2023-12-06 00:00:00,MS Word,Bob,230.7006028800501,0
419.1506397106812,2023-06-15 00:00:00,2023-05-04 00:00:00,2023-07-30 00:00:00,VLC Media Player,Bob,325.27946209179373,0
449.82429564154637,2023-12-25 00:00:00,2023-03-16 00:00:00,2023-05-20 00:00:00,VLC Media Player,Bob,374.45565541641446,0
591.5402117702074,2023-03-31 00:00:00,2023-12-25 00:00:00,2023-10-20 00:00:00,MS Word,David,413.5724872711398,0
532.8751109659685,2023-06-23 00:00:00,2023-05-17 00:00:00,2023-10-25 00:00:00,MS Word,Charlie,279.7801288408019,0
447.0239796232961,2023-05-02 00:00:00,2023-03-31 00:00:00,2023-04-11 00:00:00,VLC Media Player,Bob,324.57147263600996,0
551.3267433113356,2023-05-23 00:00:00,2023-11-21 00:00:00,2023-10-31 00:00:00,GIMP,Alice,328.4880178599323,0
509.70775493480403,2023-04-16 00:00:00,2023-03-02 00:00:00,2023-12-25 00:00:00,Adobe Photoshop,Alice,309.77408657766455,0
596.8644990532889,2023-11-01 00:00:00,2023-05-18 00:00:00,2023-01-28 00:00:00,VLC Media Player,David,295.0577399380347,0
429.7946906122648,2023-12-26 00:00:00,2023-02-19 00:00:00,2023-02-10 00:00:00,VLC Media Player,Alice,321.7987694750023,0
467.23378534022316,2023-11-13 00:00:00,2023-09-16 00:00:00,2023-12-21 00:00:00,GIMP,Bob,173.38769573901573,0
460.7891846867842,2023-05-03 00:00:00,2023-04-17 00:00:00,2023-10-30 00:00:00,VLC Media Player,Alice,334.10347450313157,0
353.64850518678816,2023-01-09 00:00:00,2023-04-23 00:00:00,2023-05-26 00:00:00,VLC Media Player,Bob,306.30889518309834,0
